Major,Male,Female,U,Total
B. Arch. Studies,134,220,,354
B.A. General,458,712,15,1185
B.A. Honours,1691,3947,68,5706
Subtotal B.A. All,2149,4659,83,6891
B. Commerce,880,564,15,1459
B. Computer Science,1391,227,15,1633
B. Engineering,3070,726,35,3831
B. Humanities,27,98,,127
B. Industrial Design,100,93,,195
B. International Business,74,126,,201
B. Journalism,97,247,,346
B. Comm & Media St. Gen,16,42,,58
B. Comm & Media St. Hon,250,535,7,792
English Language Studies,289,181,9,479
French Language Studies,92,33,,125
B. Journalism & Hum.,6,30,,37
B. Global Inter. Gen.,8,17,,25
B. Global Inter. Hon.,204,512,8,724
B. Info. Technology,365,166,9,540
B. Cognitive Science,122,346,5,473
B. Health Sciences,87,206,,293
B. Mathematics Honours,96,78,,178
B. Mathematics General,71,28,,99
Subtotal B.Math. All,167,106,,277
B. Music,43,44,,90
B. Pub. Aff. & Pol. Mngmt.,115,174,,289
B.Sc. General,157,205,,364
B.Sc. Honours,472,898,12,1382
Subtotal B.Sc. All,629,1103,14,1746
B. Social Work,33,250,8,291
Total,10348,10705,223,21276
